BSE_CODE,NSE_SYMBOL,_id,industry,sector,free_float_shares,COMPANY_NAME
533022,20MICRONS,INE144J01027,Coal & Mining,Metals & Mining,35286738,20 Microns Ltd.
542772,360ONE,INE466L01038,Capital Markets,Banking and Finance,406685005,360 One Wam Ltd.
532067,3BBLACKBIO,INE994E01018,Agrochemicals,Chemicals & Petrochemicals,8582679,3B BlackBio Dx Ltd.
544412,3BFILMS,INE0TE101010,Containers & Packaging,Commercial Services & Supplies,27968519,3B Films Ltd.
544190,3CIT,INE0R7D01018,IT Consulting & Software,Software & Services,6021978,3C IT Solutions & Telecom (India) Ltd.
523395,3MINDIA,INE470A01017,Industrial Machinery,General Industrials,11265098,3M India Ltd.
516092,3PLAND,INE105C01023,Realty,Realty,17999381,3P Land Holdings Ltd.
532628,3IINFOLTD,INE748C01038,IT Consulting & Software,Software & Services,207396313,3i Infotech Ltd.
531925,SHAQUAK,INE545N01019,Movies & Entertainment,Media,34880000,52 Weeks Entertainment Ltd.
540776,5PAISA,INE618L01018,Capital Markets,Banking and Finance,46882226,5Paisa Capital Ltd.
526881,63MOONS,INE111B01023,IT Consulting & Software,Software & Services,46078454,63 Moons Technologies Ltd.
540615,7NR,INE413X01035,Specialty Retail,Retailing,28014059,7NR Retail Ltd.
540874,7SEASL,INE454F01010,Movies & Entertainment,Media,22322629,7Seas Entertainment Ltd.
538351,AFEL,INE663P01015,Plastic Products,General Industrials,19388888,A F Enterprises Ltd.
,AGUL,INE0O6N01012,Iron & Steel Products,Metals & Mining,5483568,A G Universal Ltd.
542012,A1L,INE911Z01025,Commodity Trading  & Distribution,Commercial Services & Supplies,460000000,A-1 Ltd.
533292,A2ZINFRA,INE619I01012,Construction & Engineering,Cement and Construction,177520891,A2Z Infra Engineering Ltd.
543319,AAPLUSTRAD,INE0C5901022,Commodity Trading  & Distribution,Commercial Services & Supplies,243200000,AA Plus Tradelink Ltd.
543671,AAATECH,INE0D0U01013,Consulting Services,Commercial Services & Supplies,12826536,AAA Technologies Ltd.
544522,ABCOTS,INE08PH01015,Textiles,Textiles Apparels & Accessories,21963784,AB Cotspin India Ltd.
544281,ABINFRA,INE00YB01025,Construction & Engineering,Cement and Construction,638791748,AB Infrabuild Ltd.
500002,ABB,INE117A01022,Heavy Electrical Equipment,General Industrials,211908402,ABB India Ltd.
520123,ABCINDQ,INE125D01011,Surface Transportation,Transportation,5417530,ABC India Ltd.
,ABMINTLLTD,INE251C01025,Commodity Trading  & Distribution,Commercial Services & Supplies,9407086,ABM International Ltd.
531161,ABMKNO,INE850B01026,IT Software Products,Software & Services,20002288,ABM Knowledgeware Ltd.
,ABSMARINE,INE0QRV01016,Marine Port & Services,Transportation,24550000,ABS Marine Services Ltd.
500410,ACC,INE012A01025,Cement & Cement Products,Cement and Construction,187787314,ACC Ltd.
517494,ACCEL,INE258C01038,IT Consulting & Software,Software & Services,57574872,ACCEL Ltd.
530093,ACEEDU,INE715F01014,Education,Diversified Consumer Services,9149888,ACE Edutrend Ltd.
530669,ACEENGITEC,INE035401020,Other Financial Services,Banking and Finance,858593,ACE Engitech Ltd.
531525,ACESOFT,INE849B01010,IT Consulting & Software,Software & Services,15227705,ACE Software Exports Ltd.
517356,ACIIN,INE167B01025,Realty,Realty,110530973,ACI Infocom Ltd.
544283,ACMESOLAR,INE622W01025,Green & Renewable Energy,Utilities,706874278,ACME Solar Holdings Ltd.
530745,ACSTECH,INE366C01021,Textiles,Textiles Apparels & Accessories,60682888,ACS Technologies Ltd.
523411,ADCINDIA,INE833A01016,Telecom Equipment,Telecommunications Equipment,4599995,ADC India Communications Ltd.
519183,ADFFOODS,INE982B01027,Packaged Foods,FMCG,109863451,ADF Foods Ltd.
543377,ADISHAKTI,INE0CWK01019,Commodity Trading  & Distribution,Commercial Services & Supplies,12556281,AFLOAT Enterprises Ltd.
506579,AGVENTURES,INE321D01016,Commodity Chemicals,Chemicals & Petrochemicals,9990380,AG Ventures Ltd.
500187,AGI,INE415A01038,Containers & Packaging,Commercial Services & Supplies,64697394,AGI Greenpac Ltd.
539042,AGIIL,INE976R01033,Realty,Realty,122167176,AGI Infra Ltd.
543451,AGSTRA,INE583L01014,Internet Software & Services,Software & Services,128445229,AGS Transact Technologies Ltd.
532806,AICHAMP,INE768E01024,Jute & Jute Products,Forest Materials,30753056,AI Champdany Industries Ltd.
532683,AIAENG,INE212H01026,Castings & Forgings,General Industrials,93320396,AIA Engineering Ltd.
544072,AIKPIPES,INE0QFT01015,Plastic Products,General Industrials,6364432,AIK Pipes And Polymers Ltd.
531439,GOLDTECH,INE805A01014,IT Consulting & Software,Software & Services,52261960,AION-TECH Solutions Ltd.
544425,AJCJEWEL,INE0XRR01010,Gems & Jewellery,Textiles Apparels & Accessories,6067961,AJC Jewel Manufacturers Ltd.
530499,AKCAPIT,INE701G01012,Finance (including NBFCs),Banking and Finance,6600005,AK Capital Services Ltd.
,AKG,INE00Y801016,Commodity Trading  & Distribution,Commercial Services & Supplies,31780442,AKG Exim Ltd.
532828,AMDIND,INE005I01014,Containers & Packaging,Commercial Services & Supplies,19166666,AMD Industries Ltd.
544037,AMIC,INE0P9J01013,Castings & Forgings,General Industrials,10488407,AMIC Forging Ltd.
500343,AMJLAND,INE606A01024,Realty,Realty,40999743,AMJ Land Holdings Ltd.
540066,AMS,INE345U01019,Specialty Chemicals,Chemicals & Petrochemicals,3301963,AMS Polymers Ltd.
,AMCL,INE0VG001016,Aluminium and Aluminium Products,Metals & Mining,11834747,ANB Metal Cast Ltd.
540694,ANG,INE236W01016,Pharmaceuticals,Pharmaceuticals & Biotechnology,13059926,ANG Lifesciences India Ltd.
,AISL,INE635Y01015,Misc. Commercial Services,Commercial Services & Supplies,11687272,ANI Integrated Services Ltd.
531406,ANSINDUS,INE234J01018,Other Food & Beverages,"Food, Beverages & Tobacco",9257602,ANS Industries Ltd.
533758,APLAPOLLO,INE702C01027,Iron & Steel Products,Metals & Mining,277658420,APL Apollo Tubes Ltd.
523537,APMIN,INE170D01025,Textiles,Textiles Apparels & Accessories,21611466,APM Industries Ltd.
540135,ARCFIN,INE202R01026,Other Financial Services,Banking and Finance,871454545,ARC Finance Ltd.
,ARCIIL,INE0YDV01010,Plastic Products,General Industrials,10297169,ARC Insulation & Insulators Ltd.
543993,ARCL,INE372M01010,Specialty Chemicals,Chemicals & Petrochemicals,8000000,ARCL Organics Ltd.
,ARTNIRMAN,INE738V01013,Realty,Realty,24955201,ART Nirman Ltd.
502015,ASIIL,INE443A01030,Coal & Mining,Metals & Mining,90076582,ASI Industries Ltd.
544022,ASKAUTOLTD,INE491J01022,Auto Parts & Equipment,Automobiles & Auto Components,197142553,ASK Automotive Ltd.
526433,ASMTEC,INE867C01010,IT Consulting & Software,Software & Services,14588592,ASM Technologies Ltd.
,ATCENERGY,INE0V0Q01019,Other Electrical Equipment/Products,Consumer Durables,20388461,ATC Energies System Ltd.
