_id,COMPANY_NAME,NSE_SYMBOL,BSE_CODE
INE001B01026,KRBL Limited,KRBL,530813
INE001E01012,Premco Global Limited,PREMCO,530331
INE001F01019,Modern Steels Limited,,513303
INE001O01029,Risa International Limited,,530251
INE002A01018,Reliance Industries Limited,RELIANCE,500325
INE002B01016,MADALA HOLDINGS LIMITED,,532344
INE002E01010,Sar  Auto Products Limited,,538992
INE002L01015,SJVN Limited,SJVN,533206
INE002S01010,Mahanagar Gas Limited,MGL,539957
INE003A01024,Siemens Limited,SIEMENS,500550
INE003B01014,Inter State Oil Carrier Ltd,,530259
INE003F01015,Muller & Phipps (India) Ltd.,,501477
INE004A01022,Protean eGov Technologies Limited,PROTEAN,544021
INE004C01028,Gujarat Cotex Ltd,,514386
INE004E01016,Span Divergent Limited,,524727
INE004Z01011,Mac Hotels Limited,,541973
INE005B01027,Avantel Limited,AVANTEL,532406
INE005C01017,RTS Power Corporation Ltd.,,531215
INE005E01013,Ekansh Concepts Limited,,531364
INE005G01026,Deep Health AI India Limited,,539559
INE005I01014,AMD Industries Limited,AMDIND,532828
INE006C01015,K.Z.Leasing & Finance Ltd.,,511728
INE006F01018,N.B. Footwear Ltd.,,523242
INE006I01046,Astral Limited,ASTRAL,532830
INE006Z01016,Arvee Laboratories (India) Limited,ARVEE,
INE007A01025,Crisil Limited,CRISIL,500092
INE007B01023,Geojit Financial Services Limited,GEOJITFSL,532285
INE007C01021,Indrayani Biotech Ltd.,,526445
INE007G01014,Mahasagar Travels Ltd.,,526795
INE007N01010,Fedbank Financial Services Limited,FEDFINA,544027
INE008A01015,IDBI Bank Limited,IDBI,500116
INE008B01013,Aimco Pesticides Ltd.,,524288
INE008C01011,Royale Manor Hotels & Industries Lt,,526640
INE008N01018,Tirth Plastic Ltd.,,526675
INE008Z01020,Shree Ram Proteins Limited,SRPL,
INE009A01021,Infosys Limited,INFY,500209
INE009C01019,Sri KPR Industries Ltd,,514442
INE009U01011,Ghushine Fintrrade Ocean Limited,,539864
INE00CA01015,TREJHARA SOLUTIONS LIMITED,TREJHARA,542233
INE00CE01017,Shree Vasu Logistics Limited,SVLL,
INE00CX01017,Mahip Industries Limited,,542503
INE00E101023,Bikaji Foods International Limited,BIKAJI,543653
INE00EM01016,Megastar Foods Limited,MEGASTAR,541352
INE00EV01017,Hariom Pipe Industries Limited,HARIOMPIPE,543517
INE00F201020,Prudent Corporate Advisory Services Limited,PRUDENT,543527
INE00FF01025,Acutaas Chemicals Limited,ACUTAAS,543349
INE00FM01013,B&A Packaging India Limited,,523186
INE00GK01023,Yash Highvoltage Limited,,544310
INE00H001014,Swiggy Limited,SWIGGY,544285
INE00HZ01011,BN Agrochem Limited,BNAGROCHEM,526125
INE00IK01029,ShreeOswal Seeds And Chemicals Limited,OSWALSEEDS,
INE00IN01015,Stove Kraft Limited,STOVEKRAFT,543260
INE00IY01012,Deep Polymers Limited,,541778
INE00KV01022,Rajnandini Metal Limited,RAJMET,
INE00LM01029,SONAM LIMITED,SONAMLTD,
INE00LO01017,Craftsman Automation Limited,CRAFTSMAN,543276
INE00M201021,Sterling and Wilson Renewable Energy Limited,SWSOLAR,542760
INE00M901018,Interarch Building Solutions Limited,INTERARCH,544232
INE00OQ01016,Dharmaj Crop Guard Limited,DHARMAJ,543687
INE00PV01013,Ahlada Engineers Limited,AHLADA,
INE00Q601028,Studds Accessories Limited,STUDDS,544599
INE00Q901014,S. M. Gold Limited,,542034
INE00QT01015,Synergy Green Industries Limited,SGIL,541929
INE00R701025,Dalmia Bharat Limited,DALBHARAT,542216
INE00RL01028,Highway Infrastructure Limited,HILINFRA,544477
INE00S901012,Nila Spaces Limited,NILASPACES,542231
INE00ST01011,B.R.GOYAL INFRASTRUCTURE LIMITED,,544335
INE00SW01015,BCPL Railway Infrastructure Limited,BCPL,542057
INE00SY01011,Supershakti Metaliks Limited,,541701
INE00TV01023,SUDARSHAN PHARMA INDUSTRIES LIMITED,,543828
INE00U401027,Unicommerce Esolutions Limited,UNIECOM,544227
INE00VM01036,Manorama Industries Limited,MANORAMA,541974
INE00WC01027,Affle 3i Limited,AFFLE,542752
INE00WV01027,CMR Green Technologies Limited,CMRGREEN,544777
INE00WY01013,RACONTEUR GLOBAL RESOURCES LIMITED,,541703
INE00XB01019,SEDEMAC Mechatronics Limited,SEDEMAC,544723
INE00Y201027,Flair Writing Industries Limited,FLAIR,544030
INE00Y801016,Akg Exim Limited,AKG,
INE00YB01025,A B Infrabuild Limited,ABINFRA,544281
INE00YJ01010,Jaro Institute of Technology Management and Research Limited,JARO,544534
INE00Z501029,Kritika Wires Limited,KRITIKA,
INE00ZE01026,Abans Financial Services Limited,AFSL,543712
INE010601016,Entero Healthcare Solutions Limited,ENTERO,544122
INE010A01011,Prism Johnson Limited,PRSMJOHNSN,500338
INE010B01027,Zydus Lifesciences Limited,ZYDUSLIFE,532321
INE010C01025,SWISS MILITARY CONSUMER GOODS LIMITED,,523558
INE010J01012,Tejas Networks Limited,TEJASNET,540595
INE010R01023,Ultracab (India) Limited,,538706
INE010V01017,L&T Technology Services Limited,LTTS,540115
INE011B01017,Clio Infotech Ltd.,,530839
INE011D01013,Shervani Industrial syndicate Ltd,,526117
INE011E01029,Balu Forge Industries Limited,BALUFORGE,531112
INE011H01014,Rajvir Industries Limited,RAJVIR,532665
INE011K01018,Tega Industries Limited,TEGA,543413
INE011R01013,Atishay Limited,,538713
INE012A01025,ACC Limited,ACC,500410
INE012E01035,Diana Tea Co.Ltd.,,530959
INE012F01016,Polytex India Ltd.,,512481
